Pivot Charts Of Brand Name ,,,,,,,,,,,,,,
Revenu ,,,Rating count,,,Rating,,,Average vs discount,,,,dicsounted%,
Row Labels,Sum of Revenu,,Row Labels,Sum of rating_count,,Row Labels,Average of rating,,Row lable,Average of discounted_price,Average of marked_price,,Row Labels,Average of discount %
jackets,10079296,,jackets,4204,,candle-holders,5,,boots,3999,3999,,belts,79.9287356
clothing-set,3772403,,clothing-set,3943,,shaving-brush--razor,4.9,,planters,3600,12000,,kurtas,75.03006012
wall-art,3734647,,belts,3193,,laptop-bag,4.8,,candle-holders,3000,10000,,accessory-gift-set,74.02467489
jumpsuit,2061795,,jumpsuit,2533,,boots,4.6,,heels,2732.333333,3199,,mangalsutra,73.02921168
dresses,1573787,,dresses,2147,,tops,4.557142857,,mirrors,2564,8999,,mirrors,71.50794533
belts,1276537,,wall-art,2123,,handbags,4.534615385,,jackets,2420.95122,3999,,pendant,70.53004012
handbags,1162094,,wallets,1847,,vases,4.5,,wall-decor,2370,7900,,pooja-essentials,70
wallets,749053,,handbags,716,,planters,4.5,,fountains,2280,7600,,planters,70
jewellery-set,554527,,earrings,556,,clutches,4.5,,wall-art,2242.181818,6771.727273,,wall-decor,70
jeans,506632,,jewellery-set,553,,kurta-sets,4.5,,jeans,2190.428571,3713.285714,,fountains,70
earrings,471885,,shorts,473,,accessory-gift-set,4.4,,laptop-bag,1993,4863,,candle-holders,70
lehenga-choli,453622,,bangle,465,,wallets,4.363636364,,lehenga-choli,1754,3049,,bangle,68.28608632
kurta-sets,361804,,kurta-sets,272,,track-pants,4.3,,track-pants,1619,2699,,clutches,67.04469646
shorts,359107,,lehenga-choli,257,,kurtas,4.3,,handbags,1591.115385,3972.653846,,wall-art,66.4209417
vases,343160,,jeans,228,,belts,4.296153846,,vases,1376,3700,,artificial-flowers-and-plants,65
bangle,299934,,pendant,203,,clothing-set,4.272727273,,jewellery-set,1331.608696,2955.521739,,earrings,64.74036168
boots,231942,,vases,193,,shorts,4.266666667,,perfume-and-body-mist,1330,1900,,vases,63.5
track-pants,166757,,accessory-gift-set,170,,night-suits,4.242857143,,shirts,1319,2199,,wallets,61.95054852
pendant,137523,,night-suits,164,,tshirts,4.225,,kurta-sets,1198,2199,,handbags,60.01117054
laptop-bag,137517,,sweatshirts,151,,jumpsuit,4.222222222,,clothing-set,1094.363636,1912.636364,,laptop-bag,59.01706765
accessory-gift-set,132430,,track-pants,103,,bangle,4.2,,earrings,920.5714286,2556.142857,,sweatshirts,57.44440078
planters,129600,,mangalsutra,89,,wall-art,4.177272727,,jumpsuit,862.5555556,1576.777778,,jewellery-set,56.8036589
night-suits,112950,,shirts,78,,lehenga-choli,4.166666667,,artificial-flowers-and-plants,840,2400,,night-suits,53.03589174
shirts,102882,,tshirts,69,,earrings,4.114285714,,tshirts,836.875,1449,,dresses,46.48187569
sweatshirts,82958,,laptop-bag,69,,dresses,4.065,,shorts,791.4444444,1476.777778,,tops,46.32131963
mirrors,76830,,tops,68,,sweatshirts,4.02,,accessory-gift-set,779,2999,,kurta-sets,45.52069122
heels,70774,,shaving-brush--razor,62,,artificial-flowers-and-plants,4,,dresses,768.75,1483.8,,shorts,44.91956256
mangalsutra,59986,,boots,58,,perfume-and-body-mist,4,,pooja-essentials,750,2500,,jumpsuit,44.91755824
tshirts,57801,,artificial-flowers-and-plants,52,,jackets,3.990243902,,wallets,735.3636364,1817,,clothing-set,42.84141119
artificial-flowers-and-plants,43680,,pooja-essentials,49,,pendant,3.95,,night-suits,698.1428571,1484.714286,,lehenga-choli,42.51404688
shaving-brush--razor,43090,,planters,36,,jeans,3.928571429,,shaving-brush--razor,695,799,,tshirts,42.40468551
tops,42038,,mirrors,30,,shirts,3.9,,pendant,687,2349,,jeans,40.72531295
pooja-essentials,36750,,heels,26,,jewellery-set,3.786956522,,mangalsutra,674,2499,,shirts,40.01819009
fountains,31920,,perfume-and-body-mist,23,,heels,3.733333333,,tops,663.4285714,1298.428571,,track-pants,40.0148203
perfume-and-body-mist,30590,,fountains,14,,pooja-essentials,3.7,,bangle,648.125,2011.5,,jackets,39.46108478
wall-decor,23700,,clutches,12,,mangalsutra,3.675,,kurtas,623,2495,,perfume-and-body-mist,30
candle-holders,21000,,wall-decor,10,,fountains,3.6,,sweatshirts,552.8,1299,,shaving-brush--razor,13.01627034
clutches,5928,,kurtas,9,,wall-decor,3.1,,clutches,494,1499,,heels,11.66958406
kurtas,5607,,candle-holders,7,,mirrors,2.425,,belts,379.7692308,1903.923077,,boots,0
Grand Total,29544536,,Grand Total,25255,,Grand Total,4.145833333,,Grand Total,1443.270833,3358.892857,,Grand Total,54.82669376
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,s,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
